event,pace,distance
10K,3.366666667,10
10K,3.366666667,10
10K,3.633333333,10
10K,3.766666667,10
10K,3.8,10
10K,3.85,10
10K,3.9,10
10K,3.933333333,10
10K,3.95,10
10K,3.966666667,10
10K,3.983333333,10
10K,4.033333333,10
10K,4.066666667,10
10K,4.1,10
10K,4.116666667,10
10K,4.133333333,10
10K,4.266666667,10
10K,4.316666667,10
10K,4.366666667,10
10K,4.416666667,10
10K,4.45,10
10K,4.45,10
10K,4.5,10
10K,4.55,10
10K,4.533333333,10
10K,4.55,10
10K,4.533333333,10
10K,4.516666667,10
10K,4.566666667,10
10K,4.566666667,10
10K,4.55,10
10K,4.583333333,10
10K,4.616666667,10
10K,4.65,10
10K,4.65,10
10K,4.666666667,10
10K,4.683333333,10
10K,4.616666667,10
10K,4.7,10
10K,4.716666667,10
10K,4.716666667,10
10K,4.8,10
10K,4.8,10
10K,4.833333333,10
10K,4.833333333,10
10K,4.85,10
10K,4.866666667,10
10K,4.883333333,10
10K,4.883333333,10
10K,4.9,10
10K,4.9,10
10K,4.9,10
10K,4.916666667,10
10K,4.85,10
10K,4.916666667,10
10K,4.916666667,10
10K,4.916666667,10
10K,4.933333333,10
10K,4.95,10
10K,4.95,10
10K,4.95,10
10K,4.95,10
10K,4.966666667,10
10K,4.966666667,10
10K,4.983333333,10
10K,4.983333333,10
10K,5,10
10K,5.016666667,10
10K,4.966666667,10
10K,5.033333333,10
10K,5.05,10
10K,5.066666667,10
10K,5.016666667,10
10K,5.05,10
10K,5.066666667,10
10K,5.1,10
10K,5.083333333,10
10K,5.1,10
10K,5.116666667,10
10K,5.133333333,10
10K,5.133333333,10
10K,5.133333333,10
10K,5.133333333,10
10K,5.15,10
10K,5.166666667,10
10K,5.166666667,10
10K,5.15,10
10K,5.116666667,10
10K,5.133333333,10
10K,5.166666667,10
10K,5.15,10
10K,5.133333333,10
10K,5.183333333,10
10K,5.216666667,10
10K,5.216666667,10
10K,5.25,10
10K,5.266666667,10
10K,5.25,10
10K,5.25,10
10K,5.25,10
10K,5.25,10
10K,5.266666667,10
10K,5.266666667,10
10K,5.283333333,10
10K,5.283333333,10
10K,5.3,10
10K,5.283333333,10
10K,5.283333333,10
10K,5.3,10
10K,5.316666667,10
10K,5.333333333,10
10K,5.333333333,10
10K,5.35,10
10K,5.333333333,10
10K,5.366666667,10
10K,5.366666667,10
10K,5.35,10
10K,5.383333333,10
10K,5.4,10
10K,5.366666667,10
10K,5.383333333,10
10K,5.4,10
10K,5.416666667,10
10K,5.4,10
10K,5.416666667,10
10K,5.35,10
10K,5.416666667,10
10K,5.433333333,10
10K,5.45,10
10K,5.45,10
10K,5.416666667,10
10K,5.45,10
10K,5.45,10
10K,5.416666667,10
10K,5.433333333,10
10K,5.383333333,10
10K,5.45,10
10K,5.4,10
10K,5.45,10
10K,5.45,10
10K,5.466666667,10
10K,5.483333333,10
10K,5.466666667,10
10K,5.466666667,10
10K,5.5,10
10K,5.5,10
10K,5.466666667,10
10K,5.45,10
10K,5.5,10
10K,5.516666667,10
10K,5.516666667,10
10K,5.466666667,10
10K,5.466666667,10
10K,5.533333333,10
10K,5.516666667,10
10K,5.533333333,10
10K,5.533333333,10
10K,5.533333333,10
10K,5.466666667,10
10K,5.55,10
10K,5.55,10
10K,5.55,10
10K,5.55,10
10K,5.566666667,10
10K,5.566666667,10
10K,5.516666667,10
10K,5.533333333,10
10K,5.55,10
10K,5.6,10
10K,5.6,10
10K,5.583333333,10
10K,5.533333333,10
10K,5.533333333,10
10K,5.633333333,10
10K,5.616666667,10
10K,5.616666667,10
10K,5.633333333,10
10K,5.633333333,10
10K,5.633333333,10
10K,5.6,10
10K,5.6,10
10K,5.683333333,10
10K,5.65,10
10K,5.633333333,10
10K,5.666666667,10
10K,5.666666667,10
10K,5.683333333,10
10K,5.666666667,10
10K,5.666666667,10
10K,5.7,10
10K,5.683333333,10
10K,5.683333333,10
10K,5.683333333,10
10K,5.683333333,10
10K,5.683333333,10
10K,5.716666667,10
10K,5.716666667,10
10K,5.7,10
10K,5.733333333,10
10K,5.75,10
10K,5.75,10
10K,5.75,10
10K,5.75,10
10K,5.75,10
10K,5.766666667,10
10K,5.766666667,10
10K,5.8,10
10K,5.8,10
10K,5.8,10
10K,5.783333333,10
10K,5.8,10
10K,5.766666667,10
10K,5.8,10
10K,5.766666667,10
10K,5.783333333,10
10K,5.8,10
10K,5.75,10
10K,5.8,10
10K,5.833333333,10
10K,5.8,10
10K,5.816666667,10
10K,5.833333333,10
10K,5.816666667,10
10K,5.85,10
10K,5.833333333,10
10K,5.833333333,10
10K,5.8,10
10K,5.833333333,10
10K,5.816666667,10
10K,5.85,10
10K,5.866666667,10
10K,5.85,10
10K,5.85,10
10K,5.866666667,10
10K,5.866666667,10
10K,5.866666667,10
10K,5.85,10
10K,5.866666667,10
10K,5.883333333,10
10K,5.833333333,10
10K,5.85,10
10K,5.833333333,10
10K,5.833333333,10
10K,5.9,10
10K,5.883333333,10
10K,5.9,10
10K,5.883333333,10
10K,5.9,10
10K,5.9,10
10K,5.9,10
10K,5.9,10
10K,5.9,10
10K,5.9,10
10K,5.866666667,10
10K,5.916666667,10
10K,5.933333333,10
10K,5.916666667,10
10K,5.9,10
10K,5.9,10
10K,5.95,10
10K,5.916666667,10
10K,5.933333333,10
10K,5.933333333,10
10K,5.933333333,10
10K,5.933333333,10
10K,5.916666667,10
10K,5.916666667,10
10K,5.916666667,10
10K,5.933333333,10
10K,5.933333333,10
10K,5.95,10
10K,5.95,10
10K,5.933333333,10
10K,5.916666667,10
10K,5.966666667,10
10K,5.933333333,10
10K,5.95,10
10K,5.95,10
10K,5.95,10
10K,5.983333333,10
10K,5.95,10
10K,5.95,10
10K,5.983333333,10
10K,5.95,10
10K,5.966666667,10
10K,5.966666667,10
10K,5.966666667,10
10K,5.95,10
10K,5.983333333,10
10K,5.983333333,10
10K,6,10
10K,5.983333333,10
10K,6,10
10K,5.966666667,10
10K,6.016666667,10
10K,6.016666667,10
10K,6.016666667,10
10K,6.016666667,10
10K,6,10
10K,6.05,10
10K,6.066666667,10
10K,6.05,10
10K,6.05,10
10K,6.033333333,10
10K,6.033333333,10
10K,6.1,10
10K,6.1,10
10K,6.016666667,10
10K,6.1,10
10K,6.05,10
10K,6.116666667,10
10K,6.116666667,10
10K,6.1,10
10K,6.1,10
10K,6.1,10
10K,6.116666667,10
10K,6.133333333,10
10K,6.133333333,10
10K,6.133333333,10
10K,6.1,10
10K,6.133333333,10
10K,6.116666667,10
10K,6.166666667,10
10K,6.166666667,10
10K,6.15,10
10K,6.116666667,10
10K,6.15,10
10K,6.116666667,10
10K,6.116666667,10
10K,6.15,10
10K,6.133333333,10
10K,6.15,10
10K,6.15,10
10K,6.183333333,10
10K,6.166666667,10
10K,6.183333333,10
10K,6.183333333,10
10K,6.166666667,10
10K,6.166666667,10
10K,6.233333333,10
10K,6.216666667,10
10K,6.216666667,10
10K,6.233333333,10
10K,6.216666667,10
10K,6.233333333,10
10K,6.25,10
10K,6.233333333,10
10K,6.3,10
10K,6.3,10
10K,6.3,10
10K,6.3,10
10K,6.25,10
10K,6.3,10
10K,6.283333333,10
10K,6.283333333,10
10K,6.3,10
10K,6.3,10
10K,6.316666667,10
10K,6.316666667,10
10K,6.283333333,10
10K,6.35,10
10K,6.333333333,10
10K,6.35,10
10K,6.366666667,10
10K,6.316666667,10
10K,6.383333333,10
10K,6.366666667,10
10K,6.333333333,10
10K,6.366666667,10
10K,6.333333333,10
10K,6.35,10
10K,6.35,10
10K,6.333333333,10
10K,6.383333333,10
10K,6.4,10
10K,6.35,10
10K,6.366666667,10
10K,6.383333333,10
10K,6.333333333,10
10K,6.4,10
10K,6.4,10
10K,6.366666667,10
10K,6.383333333,10
10K,6.433333333,10
10K,6.4,10
10K,6.483333333,10
10K,6.483333333,10
10K,6.466666667,10
10K,6.516666667,10
10K,6.516666667,10
10K,6.483333333,10
10K,6.466666667,10
10K,6.5,10
10K,6.5,10
10K,6.483333333,10
10K,6.516666667,10
10K,6.5,10
10K,6.5,10
10K,6.583333333,10
10K,6.483333333,10
10K,6.533333333,10
10K,6.5,10
10K,6.55,10
10K,6.55,10
10K,6.516666667,10
10K,6.566666667,10
10K,6.6,10
10K,6.516666667,10
10K,6.533333333,10
10K,6.533333333,10
10K,6.6,10
10K,6.616666667,10
10K,6.6,10
10K,6.666666667,10
10K,6.6,10
10K,6.616666667,10
10K,6.616666667,10
10K,6.683333333,10
10K,6.666666667,10
10K,6.7,10
10K,6.7,10
10K,6.683333333,10
10K,6.683333333,10
10K,6.666666667,10
10K,6.7,10
10K,6.7,10
10K,6.733333333,10
10K,6.783333333,10
10K,6.75,10
10K,6.8,10
10K,6.8,10
10K,6.733333333,10
10K,6.733333333,10
10K,6.75,10
10K,6.75,10
10K,6.75,10
10K,6.766666667,10
10K,6.833333333,10
10K,6.833333333,10
10K,6.8,10
10K,6.833333333,10
10K,6.8,10
10K,6.816666667,10
10K,6.9,10
10K,6.866666667,10
10K,6.85,10
10K,6.933333333,10
10K,6.933333333,10
10K,6.916666667,10
10K,6.916666667,10
10K,6.95,10
10K,6.95,10
10K,6.983333333,10
10K,7,10
10K,6.966666667,10
10K,6.95,10
10K,6.983333333,10
10K,6.966666667,10
10K,6.983333333,10
10K,6.983333333,10
10K,7,10
10K,7,10
10K,6.983333333,10
10K,7.033333333,10
10K,7.016666667,10
10K,7.016666667,10
10K,7.05,10
10K,7.016666667,10
10K,7.016666667,10
10K,7,10
10K,7.016666667,10
10K,7.016666667,10
10K,7.033333333,10
10K,7.033333333,10
10K,7.066666667,10
10K,7.066666667,10
10K,7.066666667,10
10K,7.016666667,10
10K,7.1,10
10K,7.116666667,10
10K,7.116666667,10
10K,7.15,10
10K,7.133333333,10
10K,7.133333333,10
10K,7.166666667,10
10K,7.15,10
10K,7.183333333,10
10K,7.183333333,10
10K,7.183333333,10
10K,7.2,10
10K,7.2,10
10K,7.216666667,10
10K,7.25,10
10K,7.35,10
10K,7.383333333,10
10K,7.383333333,10
10K,7.416666667,10
10K,7.466666667,10
10K,7.483333333,10
10K,7.516666667,10
10K,7.5,10
10K,7.5,10
10K,7.516666667,10
10K,7.516666667,10
10K,7.516666667,10
10K,7.5,10
10K,7.5,10
10K,7.566666667,10
10K,7.55,10
10K,7.55,10
10K,7.55,10
10K,7.55,10
10K,7.55,10
10K,7.583333333,10
10K,7.6,10
10K,7.583333333,10
10K,7.666666667,10
10K,7.666666667,10
10K,7.733333333,10
10K,7.733333333,10
10K,7.716666667,10
10K,7.733333333,10
10K,7.733333333,10
10K,7.783333333,10
10K,7.783333333,10
10K,7.783333333,10
10K,7.8,10
10K,7.816666667,10
10K,7.816666667,10
10K,6.283333333,10
10K,7.85,10
10K,7.866666667,10
10K,7.9,10
10K,7.916666667,10
10K,8.033333333,10
10K,8.1,10
10K,8.1,10
10K,8.016666667,10
10K,8.066666667,10
10K,8.05,10
10K,8.116666667,10
10K,8.183333333,10
10K,8.15,10
10K,8.15,10
10K,8.15,10
10K,8.266666667,10
10K,8.216666667,10
10K,8.333333333,10
10K,8.266666667,10
10K,8.283333333,10
10K,8.333333333,10
10K,8.35,10
10K,8.366666667,10
10K,8.35,10
10K,8.35,10
10K,8.366666667,10
10K,8.466666667,10
10K,8.533333333,10
10K,8.55,10
10K,8.583333333,10
10K,8.583333333,10
10K,8.633333333,10
10K,8.65,10
10K,8.716666667,10
10K,8.733333333,10
10K,8.733333333,10
10K,8.75,10
10K,8.866666667,10
10K,8.9,10
10K,8.9,10
10K,9.016666667,10
10K,9.016666667,10
10K,9.116666667,10
10K,9.116666667,10
10K,9.25,10
10K,9.25,10
10K,9.25,10
10K,9.316666667,10
10K,9.35,10
10K,9.25,10
10K,9.25,10
10K,9.25,10
10K,9.4,10
10K,9.383333333,10
10K,9.666666667,10
10K,9.716666667,10
10K,9.716666667,10
10K,9.766666667,10
10K,9.85,10
10K,9.85,10
10K,9.933333333,10
10K,10.03333333,10
10K,10.03333333,10
10K,10.03333333,10
10K,10.03333333,10
10K,10.13333333,10
10K,10.15,10
10K,10.41666667,10
10K,10.43333333,10
10K,10.53333333,10
10K,10.53333333,10
10K,10.53333333,10
10K,10.55,10
10K,10.55,10
10K,10.55,10
10K,10.6,10
10K,10.78333333,10
10K,10.78333333,10
10K,11.26666667,10
10K,11.26666667,10
10K,11.3,10
10K,11.3,10
10K,11.43333333,10
10K,11.78333333,10
10K,11.78333333,10
10K,11.78333333,10
10K,11.78333333,10
10K,12.08333333,10
Half,3.583333333,21.1
Half,3.7,21.1
Half,3.8,21.1
Half,3.816666667,21.1
Half,3.816666667,21.1
Half,3.85,21.1
Half,3.883333333,21.1
Half,3.9,21.1
Half,3.9,21.1
Half,3.933333333,21.1
Half,3.966666667,21.1
Half,3.983333333,21.1
Half,4.016666667,21.1
Half,4.033333333,21.1
Half,4.033333333,21.1
Half,4.033333333,21.1
Half,4.05,21.1
Half,4.066666667,21.1
Half,4.066666667,21.1
Half,4.083333333,21.1
Half,4.1,21.1
Half,4.1,21.1
Half,4.116666667,21.1
Half,4.116666667,21.1
Half,4.133333333,21.1
Half,4.133333333,21.1
Half,4.15,21.1
Half,4.166666667,21.1
Half,4.166666667,21.1
Half,4.166666667,21.1
Half,4.15,21.1
Half,4.166666667,21.1
Half,4.166666667,21.1
Half,4.183333333,21.1
Half,4.183333333,21.1
Half,4.183333333,21.1
Half,4.166666667,21.1
Half,4.216666667,21.1
Half,4.266666667,21.1
Half,4.266666667,21.1
Half,4.266666667,21.1
Half,4.3,21.1
Half,4.3,21.1
Half,4.316666667,21.1
Half,4.316666667,21.1
Half,4.316666667,21.1
Half,4.366666667,21.1
Half,4.366666667,21.1
Half,4.383333333,21.1
Half,4.383333333,21.1
Half,4.4,21.1
Half,4.4,21.1
Half,4.4,21.1
Half,4.4,21.1
Half,4.416666667,21.1
Half,4.416666667,21.1
Half,4.416666667,21.1
Half,4.416666667,21.1
Half,4.4,21.1
Half,4.433333333,21.1
Half,4.433333333,21.1
Half,4.433333333,21.1
Half,4.45,21.1
Half,4.45,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.466666667,21.1
Half,4.483333333,21.1
Half,4.5,21.1
Half,4.5,21.1
Half,4.516666667,21.1
Half,4.5,21.1
Half,4.516666667,21.1
Half,4.516666667,21.1
Half,4.55,21.1
Half,4.55,21.1
Half,4.566666667,21.1
Half,4.566666667,21.1
Half,4.566666667,21.1
Half,4.566666667,21.1
Half,4.583333333,21.1
Half,4.583333333,21.1
Half,4.6,21.1
Half,4.6,21.1
Half,4.616666667,21.1
Half,4.633333333,21.1
Half,4.616666667,21.1
Half,4.65,21.1
Half,4.666666667,21.1
Half,4.666666667,21.1
Half,4.666666667,21.1
Half,4.633333333,21.1
Half,4.683333333,21.1
Half,4.666666667,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.666666667,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.683333333,21.1
Half,4.7,21.1
Half,4.683333333,21.1
Half,4.7,21.1
Half,4.716666667,21.1
Half,4.716666667,21.1
Half,4.716666667,21.1
Half,4.716666667,21.1
Half,4.733333333,21.1
Half,4.633333333,21.1
Half,4.716666667,21.1
Half,4.733333333,21.1
Half,4.7,21.1
Half,4.733333333,21.1
Half,4.75,21.1
Half,4.733333333,21.1
Half,4.75,21.1
Half,4.75,21.1
Half,4.75,21.1
Half,4.766666667,21.1
Half,4.766666667,21.1
Half,4.733333333,21.1
Half,4.766666667,21.1
Half,4.783333333,21.1
Half,4.75,21.1
Half,4.783333333,21.1
Half,4.783333333,21.1
Half,4.783333333,21.1
Half,4.816666667,21.1
Half,4.816666667,21.1
Half,4.783333333,21.1
Half,4.816666667,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.833333333,21.1
Half,4.85,21.1
Half,4.85,21.1
Half,4.866666667,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.866666667,21.1
Half,4.883333333,21.1
Half,4.866666667,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.883333333,21.1
Half,4.9,21.1
Half,4.9,21.1
Half,4.9,21.1
Half,4.916666667,21.1
Half,4.9,21.1
Half,4.916666667,21.1
Half,4.933333333,21.1
Half,4.916666667,21.1
Half,4.916666667,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.916666667,21.1
Half,4.916666667,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.933333333,21.1
Half,4.966666667,21.1
Half,4.966666667,21.1
Half,4.95,21.1
Half,4.983333333,21.1
Half,4.966666667,21.1
Half,4.966666667,21.1
Half,4.983333333,21.1
Half,5,21.1
Half,5.016666667,21.1
Half,5,21.1
Half,5.016666667,21.1
Half,5.033333333,21.1
Half,5.033333333,21.1
Half,5.016666667,21.1
Half,5.033333333,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5.05,21.1
Half,5,21.1
Half,5.066666667,21.1
Half,5.066666667,21.1
Half,5.066666667,21.1
Half,5.05,21.1
Half,5.066666667,21.1
Half,5.083333333,21.1
Half,5.1,21.1
Half,5.083333333,21.1
Half,5.116666667,21.1
Half,5.1,21.1
Half,5.116666667,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.15,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.15,21.1
Half,5.166666667,21.1
Half,5.15,21.1
Half,5.15,21.1
Half,5.15,21.1
Half,5.166666667,21.1
Half,5.15,21.1
Half,5.166666667,21.1
Half,5.183333333,21.1
Half,5.183333333,21.1
Half,5.15,21.1
Half,5.15,21.1
Half,5.183333333,21.1
Half,5.133333333,21.1
Half,5.2,21.1
Half,5.2,21.1
Half,5.2,21.1
Half,5.216666667,21.1
Half,5.2,21.1
Half,5.183333333,21.1
Half,5.216666667,21.1
Half,5.2,21.1
Half,5.233333333,21.1
Half,5.2,21.1
Half,5.2,21.1
Half,5.233333333,21.1
Half,5.25,21.1
Half,5.25,21.1
Half,5.233333333,21.1
Half,5.25,21.1
Half,5.233333333,21.1
Half,5.233333333,21.1
Half,5.233333333,21.1
Half,5.25,21.1
Half,5.233333333,21.1
Half,5.216666667,21.1
Half,5.183333333,21.1
Half,5.283333333,21.1
Half,5.2,21.1
Half,5.266666667,21.1
Half,5.266666667,21.1
Half,5.25,21.1
Half,5.283333333,21.1
Half,5.266666667,21.1
Half,5.283333333,21.1
Half,5.266666667,21.1
Half,5.3,21.1
Half,5.283333333,21.1
Half,5.283333333,21.1
Half,5.3,21.1
Half,5.283333333,21.1
Half,5.3,21.1
Half,5.3,21.1
Half,5.316666667,21.1
Half,5.316666667,21.1
Half,5.316666667,21.1
Half,5.3,21.1
Half,5.3,21.1
Half,5.316666667,21.1
Half,5.3,21.1
Half,5.333333333,21.1
Half,5.283333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.316666667,21.1
Half,5.333333333,21.1
Half,5.3,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.333333333,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.383333333,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.383333333,21.1
Half,5.366666667,21.1
Half,5.383333333,21.1
Half,5.333333333,21.1
Half,5.383333333,21.1
Half,5.4,21.1
Half,5.4,21.1
Half,5.416666667,21.1
Half,5.4,21.1
Half,5.4,21.1
Half,5.4,21.1
Half,5.433333333,21.1
Half,5.416666667,21.1
Half,5.416666667,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.416666667,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.433333333,21.1
Half,5.45,21.1
Half,5.45,21.1
Half,5.466666667,21.1
Half,5.433333333,21.1
Half,5.466666667,21.1
Half,5.416666667,21.1
Half,5.45,21.1
Half,5.483333333,21.1
Half,5.483333333,21.1
Half,5.466666667,21.1
Half,5.5,21.1
Half,5.483333333,21.1
Half,5.483333333,21.1
Half,5.5,21.1
Half,5.483333333,21.1
Half,5.5,21.1
Half,5.516666667,21.1
Half,5.483333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.516666667,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.55,21.1
Half,5.516666667,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.533333333,21.1
Half,5.516666667,21.1
Half,5.5,21.1
Half,5.533333333,21.1
Half,5.55,21.1
Half,5.533333333,21.1
Half,5.533333333,21.1
Half,5.5,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.566666667,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.55,21.1
Half,5.566666667,21.1
Half,5.55,21.1
Half,5.583333333,21.1
